Kumiko lamp BOM,,,,,
KIT Items,Description,Quantity,Unit Price (CAD),Total Price (CAD),URL
LED strip,White led ,1,"4,59","4,59",https://www.aliexpress.com/item/1005008543803381.html?spm=a2g0o.cart.0.0.611238dasnpoYX&mp=1
shipping,,,,3,
